id,name,country_id/id
ch_city_tesserete,Tesserete,base.ch
ch_city_neerach,Neerach,base.ch
ch_city_muselbach,Müselbach,base.ch
ch_city_zufikon,Zufikon,base.ch
ch_city_wagen,Wagen,base.ch
ch_city_coppet,Coppet,base.ch
ch_city_giswil,Giswil,base.ch
ch_city_tenna,Tenna,base.ch
ch_city_kriens_contact_center,Kriens Contact Center,base.ch
ch_city_corin_de_la_crete,Corin-de-la-Crête,base.ch
ch_city_lyss_zustellung,Lyss Zustellung,base.ch
ch_city_castelrotto,Castelrotto,base.ch
ch_city_elsau,Elsau,base.ch
ch_city_wimmis,Wimmis,base.ch
ch_city_eriz,Eriz,base.ch
ch_city_ringoldswil,Ringoldswil,base.ch
ch_city_corcelles_le_jorat,Corcelles-le-Jorat,base.ch
ch_city_wildberg,Wildberg,base.ch
ch_city_lottigna,Lottigna,base.ch
ch_city_geneve_2_distribution,Genève 2 Distribution,base.ch
ch_city_gland,Gland,base.ch
ch_city_sigirino,Sigirino,base.ch
ch_city_orsieres,Orsières,base.ch
ch_city_durrenroth,Dürrenroth,base.ch
ch_city_steinen_zustellung,Steinen Zustellung,base.ch
ch_city_flums_zustellung,Flums Zustellung,base.ch
ch_city_dardin,Dardin,base.ch
ch_city_locarno_stazione_ffs,Locarno Stazione FFS,base.ch
ch_city_st_gallenkappel,St. Gallenkappel,base.ch
ch_city_batterkinden,Bätterkinden,base.ch
ch_city_davos_glaris,Davos Glaris,base.ch
ch_city_buchen_be,Buchen BE,base.ch
ch_city_schwendibach,Schwendibach,base.ch
ch_city_elgg,Elgg,base.ch
ch_city_burgdorf_1,Burgdorf 1,base.ch
ch_city_riein,Riein,base.ch
ch_city_montagny_chamard,Montagny-Chamard,base.ch
ch_city_domat/ems_zustellung,Domat/Ems Zustellung,base.ch
ch_city_wadenswil_dist_ba,Wädenswil Dist Ba,base.ch
ch_city_guarda,Guarda,base.ch
ch_city_manno,Manno,base.ch
ch_city_intragna,Intragna,base.ch
ch_city_niederhasli,Niederhasli,base.ch
ch_city_davos_frauenkirch,Davos Frauenkirch,base.ch
ch_city_courcelon,Courcelon,base.ch
ch_city_puplinge,Puplinge,base.ch
ch_city_nyon,Nyon,base.ch
ch_city_surrein,Surrein,base.ch
ch_city_brontallo,Brontallo,base.ch
ch_city_tann,Tann,base.ch
ch_city_bulach_kaserne,Bülach Kaserne,base.ch
ch_city_evolene,Evolène,base.ch
ch_city_lufingen,Lufingen,base.ch
ch_city_corsier_sur_vevey,Corsier-sur-Vevey,base.ch
ch_city_chavannes_sous_orsonnens,Chavannes-sous-Orsonnens,base.ch
ch_city_billens,Billens,base.ch
ch_city_novalles,Novalles,base.ch
ch_city_diesse,Diesse,base.ch
ch_city_les_thioleyres,Les Thioleyres,base.ch
ch_city_hombrechtikon,Hombrechtikon,base.ch
ch_city_zurich,Zürich,base.ch
ch_city_jona_buech_gewerbe,Jona Buech Gewerbe,base.ch
ch_city_biberstein,Biberstein,base.ch
ch_city_brittnau,Brittnau,base.ch
ch_city_oberrickenbach,Oberrickenbach,base.ch
ch_city_danikon_zh,Dänikon ZH,base.ch
ch_city_wolfenschiessen,Wolfenschiessen,base.ch
ch_city_cari,Carì,base.ch
ch_city_herisau_1,Herisau 1,base.ch
